Athlete,Date,Training_Load,Readiness_Score
Rahul,2026-08-01,320,96
Rahul,2026-08-02,340,94
Rahul,2026-08-03,350,95
Rahul,2026-08-04,360,93
Rahul,2026-08-05,380,92
Rahul,2026-08-06,370,94
Rahul,2026-08-07,390,91
Rahul,2026-08-08,410,90
Rahul,2026-08-09,400,92
Rahul,2026-08-10,650,72
Arjun,2026-08-01,420,90
Arjun,2026-08-02,440,88
Arjun,2026-08-03,430,91
Arjun,2026-08-04,450,89
Arjun,2026-08-05,470,87
Arjun,2026-08-06,460,88
Arjun,2026-08-07,480,86
Arjun,2026-08-08,500,84
Arjun,2026-08-09,490,85
Arjun,2026-08-10,510,83
Vikram,2026-08-01,280,98
Vikram,2026-08-02,300,97
Vikram,2026-08-03,310,96
Vikram,2026-08-04,290,98
Vikram,2026-08-05,320,95
Vikram,2026-08-06,330,94
Vikram,2026-08-07,340,95
Vikram,2026-08-08,350,93
Vikram,2026-08-09,360,94
Vikram,2026-08-10,370,92
Priya,2026-08-01,350,94
Priya,2026-08-02,370,93
Priya,2026-08-03,360,95
Priya,2026-08-04,380,92
Priya,2026-08-05,390,91
Priya,2026-08-06,400,90
Priya,2026-08-07,410,89
Priya,2026-08-08,420,88
Priya,2026-08-09,430,87
Priya,2026-08-10,440,86
